EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
beeerad25-17,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-18,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-19,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-20,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-21,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-22,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-23,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-24,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-25,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-26,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-27,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-28,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-29,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-30,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-31,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-32,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-33,Alive,PIT,LA,73.4,18.0,89.6,83.6,26.8,68.4,2,EV Hunter,EV Hunter (90) / Sprinter (84),Medium
beeerad25-34,Eliminated,DET,TB,63.3,6.7,96.0,94.5,41.3,61.9,2,EV Hunter,EV Hunter (96) / Sprinter (94),Medium
beeffly-1,Alive,LV,PHI,68.7,9.9,79.5,80.2,41.7,67.9,2,Sprinter,Sprinter (80) / EV Hunter (80) / Planner (69) / Tourist (68),Medium
beeffly-2,Alive,PIT,NE,66.7,16.4,85.6,85.6,42.6,73.3,2,EV Hunter,EV Hunter (86) / Sprinter (86) / Tourist (73),Medium
beeffly-3,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beefmountain-1,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
BEEFYDOG28-1,Eliminated,LV,LAC,56.2,8.3,85.1,87.4,50.5,66.1,2,Sprinter,Sprinter (87) / EV Hunter (85),Medium
BEEFYDOG28-2,Eliminated,LV,BAL,70.2,11.5,81.9,85.8,32.1,63.4,2,Sprinter,Sprinter (86) / EV Hunter (82),Medium
