EntryName,Status,Week_1,Week_2
adamb-3,Eliminated,PIT,TB
adamb-4,Eliminated,JAC,LAC
adamb-5,Alive,JAC,PHI
adamfeld0930-1,Alive,PIT,PHI
adamfeld0930-2,Eliminated,PIT,TB
adamfeld0930-3,Eliminated,LV,LAC
adamfeld0930-4,Eliminated,JAC,TB
adamhndz-1,Eliminated,PIT,BAL
adaml-1,Eliminated,LV,TB
adamlindaman-vUJ3-1,Eliminated,JAC,TB
adamlindaman-vUJ3-2,Alive,DET,PHI
Adam-Meyer-608-1,Eliminated,DET,TB
Adam-Meyer-608-3,Eliminated,DET,CHI
Adam-Patterson-1,Alive,NYJ,SF
Adam-Patterson-3,Eliminated,DET,TB
Adam-Patterson-4,Alive,CHI,SF
Adam-Patterson-5,Eliminated,LV,TB
adamsiadek-1,Eliminated,JAC,TB
adamsiadek-2,Alive,DET,SF
adamsilva-2,Alive,JAC,CAR
adamsilva-3,Alive,BAL,GB
adamsilva-4,Eliminated,PHI,TB
adamsilva-5,Eliminated,PIT,TB
Adam-Werhane-1,Eliminated,PIT,TB
Adam-Werhane-2,Eliminated,PIT,TB
Adam-Werhane-3,Eliminated,JAC,TB
Adam-Werhane-4,Eliminated,JAC,LAC
AddisonsBFF-1,Eliminated,NYJ,BAL
adebo-1,Eliminated,JAC,LAC
adebry-1,Eliminated,JAC,TB
adelgado-1,Alive,MIN,PHI
aditcooks-1,Eliminated,JAC,TB
aditcooks-2,Eliminated,JAC,TB
aditcooks-3,Eliminated,JAC,LAC
aditcooks-4,Alive,JAC,SF
aditcooks-5,Alive,JAC,PHI
aditcooks-6,Eliminated,JAC,BAL
aditcooks-7,Alive,JAC,LA
aditcooks-8,Alive,JAC,KC
aditcooks-16,Eliminated,LV,TB
aditcooks-17,Eliminated,LV,LAC
aditcooks-18,Alive,LV,SF
aditcooks-19,Eliminated,LV,BAL
aditcooks-20,Eliminated,DET,TB
aditcooks-21,Eliminated,DET,LAC
aditcooks-22,Alive,DET,SF
aditcooks-23,Alive,DET,PHI
aditcooks-24,Eliminated,PHI,TB
aditcooks-25,Eliminated,PHI,LAC
aditcooks-26,Alive,PHI,SF
aditcooks-27,Eliminated,CIN,TB
aditcooks-28,Alive,CIN,LA
aditcooks-29,Eliminated,PIT,TB
aditcooks-30,Alive,PIT,KC
admin-betz-1,Eliminated,JAC,TB
admking-1,Eliminated,PIT,TB
ADoherts23-2,Eliminated,JAC,TB
ADREAMKING-1,Alive,CHI,BUF
ADREAMKING-2,Alive,LV,PHI
ADREAMKING-3,Alive,JAC,SF
ADREAMKING-4,Eliminated,JAC,TB
ADREAMKING-6,Eliminated,PHI,CHI
ADREAMKING-7,Alive,JAC,KC
ADREAMKING-8,Alive,LV,SF
ADREAMKING-9,Eliminated,PHI,LAC
Adrian-Rafalski-1,Eliminated,JAC,LAC
Adrian-Rafalski-2,Eliminated,JAC,LAC
Adrian-Rafalski-3,Eliminated,JAC,LAC
Adrian-Rafalski-4,Eliminated,JAC,TB
Adrian-Rafalski-5,Eliminated,JAC,TB
Adrian-Rafalski-6,Eliminated,JAC,LAC
Adrian-Rafalski-7,Eliminated,JAC,LAC
Adrian-Rafalski-8,Eliminated,LV,TB
Adrian-Rafalski-9,Eliminated,LV,LAC
ADskillz-1,Eliminated,LV,TB
ADUB-247-1,Alive,JAC,SF
afab260-1,Eliminated,PIT,TB
afarkas14-1,Eliminated,LV,TB
afarovitch1-1,Eliminated,LV,TB
afernandez20-1,Eliminated,JAC,TB
afgreenfield-1,Eliminated,JAC,TB
AField-978-1,Eliminated,PIT,TB
AFLAK31-1,Eliminated,LV,TB
AFLAK31-2,Alive,JAC,SF
afuruyama-1,Alive,JAC,SF
afusco27-1,Eliminated,PIT,TB
AG-732-1,Eliminated,JAC,TB
AGE-RIP-1,Alive,NYJ,CAR
aggard6363-1,Alive,JAC,SF
aggard6363-3,Eliminated,PIT,TB
aggard6363-4,Eliminated,PIT,LAC
AggieNoseBest-1,Eliminated,CHI,TB
aggies21-1,Eliminated,JAC,TB
a-goody-2,Eliminated,PIT,TB
agqedguy-1,Alive,JAC,CAR
agrunick-1,Eliminated,JAC,TB
ahan08-1,Alive,JAC,SF
ahan08-2,Eliminated,PIT,LAC
ahan08-4,Eliminated,LV,TB
ahan08-5,Alive,LV,PHI
AHeinen-1,Eliminated,PIT,TB
aheinen94-1,Eliminated,JAC,LAC
aholaday23-1,Alive,PIT,PHI
Aholmes144-1,Eliminated,JAC,TB
