EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
abbq-29,Eliminated,CIN,BAL,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-30,Alive,CIN,KC,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-31,Alive,CIN,SF,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-32,Alive,CIN,PHI,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-33,Eliminated,CIN,BAL,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-46,Eliminated,DET,LAC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-47,Alive,DET,PHI,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-48,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-49,Alive,DET,LA,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-50,Eliminated,DET,BAL,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-51,Alive,DET,CAR,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-52,Alive,DET,CAR,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-53,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-54,Alive,DET,KC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-55,Alive,DET,PHI,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-56,Alive,DET,DAL,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-57,Alive,DET,KC,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-58,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-59,Alive,DET,SF,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
abbq-60,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-61,Alive,JAC,KC,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-62,Alive,JAC,PHI,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-63,Alive,JAC,KC,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-64,Alive,JAC,NE,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-65,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-66,Alive,JAC,LA,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-67,Alive,JAC,DAL,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-68,Alive,JAC,DAL,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
abbq-69,Alive,JAC,SF,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
