EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
Marphil-1,16,BUF,SF,IND,LAR,ARI,MIA,KC,TB,PIT,GB,LAC,HOU,NO,MIN,SEA,TEN,CLE,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
MOMO-1,16,BAL,TB,IND,LAR,PIT,MIA,BUF,KC,NE,GB,LAC,HOU,NYG,MIN,SEA,TEN,CLE,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
NOTJOE'SAVGJALAPENOS-4,16,BUF,PIT,IND,LAR,BAL,MIA,NO,KC,HOU,TB,LAC,WAS,GB,MIN,SEA,TEN,CLE,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Perfect Pint-1,16,NE,TB,IND,LAR,BAL,MIA,BUF,PHI,PIT,GB,LAC,WAS,CLE,KC,SEA,TEN,HOU,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
SHINEBOX.-1,16,KC,TEN,IND,LAR,BAL,MIA,BUF,PHI,PIT,GB,LAC,HOU,NYG,MIN,SEA,ARI,CLE,ELIMINATED,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
SUNFLOWER-1,16,NE,ARI,IND,LAR,BAL,MIA,LAC,KC,PIT,GB,NO,WAS,BUF,MIN,SEA,TEN,HOU,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
SUSAN7UP-1,16,BUF,TEN,IND,LAR,BAL,MIA,KC,PHI,PIT,NO,LAC,HOU,GB,MIN,SEA,ARI,CLE,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
THE GREATEST DANCER-2,16,BAL,KC,TB,LAR,DAL,MIA,BUF,PHI,PIT,GB,LAC,HOU,NYG,MIN,SEA,TEN,CLE,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
BIGDNICK-5,15,NE,TEN,CLE,BAL,NO,IND,BUF,PHI,PIT,GB,LAC,WAS,MIA,MIN,KC,LAR,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
BizzyBettor-2,15,NE,TEN,IND,BAL,SEA,MIA,BUF,KC,PIT,GB,LAC,HOU,NO,LV,TB,LAR,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
BMAC-5,15,NE,SF,IND,LAR,BAL,MIA,BUF,TB,KC,NO,LAC,HOU,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Chimp-19-1,15,BUF,PIT,IND,BAL,ARI,MIA,NO,KC,NE,GB,LAC,HOU,NYG,LV,SEA,LAR,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
CNT WALK-1,15,BAL,CLE,IND,LAR,ARI,MIA,BUF,PHI,NE,GB,KC,HOU,NO,MIN,SEA,PIT,ELIMINATED,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
Cubby-1,15,NE,ARI,CLE,LAR,HOU,IND,BUF,PHI,KC,NO,LAC,WAS,GB,MIA,SEA,PIT,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Cuddy120-1,15,BAL,GB,CLE,LAR,ARI,IND,BUF,PHI,NE,NO,LAC,HOU,MIA,MIN,SEA,PIT,ELIMINATED,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
DOZER-1,15,KC,TEN,IND,LAR,ARI,MIA,BUF,TB,NE,NO,LAC,HOU,GB,MIN,SEA,PIT,ELIMINATED,ELIMINATED,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
ESSENTIAL BETTORS-4,15,BAL,KC,IND,LAR,DAL,MIA,BUF,PHI,GB,TB,LAC,HOU,NO,MIN,SEA,PIT,ELIMINATED,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
FJIZZLE-2,15,NE,TB,IND,BAL,ARI,MIA,BUF,KC,PIT,GB,LAC,WAS,NYG,LV,SEA,LAR,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Follow Proto-1,15,BUF,TEN,NE,TB,NO,IND,PHI,KC,MIN,GB,PIT,HOU,CLE,MIA,SEA,LAR,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
GAVIN45-3,15,BUF,SF,IND,BAL,ARI,MIA,LAC,KC,NE,GB,PIT,HOU,CLE,MIN,SEA,LAR,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
GULF COAST GURU-1,15,BUF,ARI,NE,TB,NO,IND,KC,PHI,GB,PIT,LAC,HOU,NYG,MIA,SEA,LAR,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
KSSA-1,15,BUF,CHI,IND,LAR,HOU,MIA,PHI,TB,KC,GB,LAC,WAS,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Larry B 27-3,15,NE,ARI,CLE,BAL,PIT,IND,BUF,TB,KC,GB,LAC,HOU,MIA,MIN,SEA,LAR,ELIMINATED,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
Maiowe-3,15,BUF,TEN,CLE,LAR,HOU,IND,PHI,KC,NE,NO,LAC,WAS,GB,MIA,SEA,PIT,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
ODBMG-1,15,BUF,TEN,IND,LAR,ARI,MIA,LAC,PHI,NE,GB,KC,HOU,CLE,MIN,SEA,PIT,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
ORDER UP-2,15,BUF,TEN,CLE,TB,ARI,IND,LAC,PHI,NE,GB,PIT,HOU,MIA,KC,SEA,LAR,ELIMINATED,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Practice Squad QB-1,15,PIT,TEN,IND,TB,BAL,MIA,BUF,PHI,KC,GB,LAC,HOU,NYG,MIN,SEA,LAR,ELIMINATED,ELIMINATED,100.0,18.8,81.2,81.2,15.2,37.5,1,Planner,Planner (100),Low
PUFFALUPPS-2,15,TEN,CLE,NE,TB,ARI,MIA,BUF,KC,PIT,GB,LAC,HOU,NO,LV,SEA,LAR,ELIMINATED,ELIMINATED,100.0,35.9,71.9,71.9,20.2,60.2,1,Planner,Planner (100),Low
